Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Jan 14, 2021",$3.5160,$3.5429,$3.1820,$3.2782,"$59,283,112","$858,551,672",SOL
"Jan 13, 2021",$3.6284,$3.6288,$3.2749,$3.5138,"$57,994,893","$920,261,107",SOL
"Jan 12, 2021",$3.1037,$3.8444,$3.0800,$3.6134,"$73,484,689","$946,351,028",SOL
"Jan 11, 2021",$3.4611,$3.5136,$2.5971,$3.1081,"$82,877,500","$814,011,025",SOL
"Jan 10, 2021",$3.3900,$3.7336,$3.1962,$3.4661,"$62,766,977","$907,777,180",SOL
"Jan 09, 2021",$3.2235,$3.6628,$2.9383,$3.3854,"$91,906,875","$886,634,796",SOL
"Jan 08, 2021",$2.3687,$3.7793,$2.1809,$3.2199,"$206,412,154","$843,292,265",SOL
"Jan 07, 2021",$1.9366,$2.6118,$1.9330,$2.3727,"$159,870,278","$621,424,746",SOL
"Jan 06, 2021",$2.1596,$2.1859,$1.9076,$1.9292,"$50,263,975","$89,843,518",SOL
"Jan 05, 2021",$2.4910,$2.5026,$2.0777,$2.1572,"$50,555,207","$100,461,486",SOL
"Jan 04, 2021",$2.1624,$2.4851,$1.8763,$2.4851,"$59,955,405","$115,730,856",SOL
"Jan 03, 2021",$1.7999,$2.3650,$1.7999,$2.1618,"$55,073,422","$100,672,675",SOL
"Jan 02, 2021",$1.8456,$1.9893,$1.7215,$1.7993,"$31,671,064","$83,792,134",SOL
"Jan 01, 2021",$1.5098,$1.8597,$1.5020,$1.8421,"$25,722,549","$85,785,758",SOL
"Dec 31, 2020",$1.5356,$1.5506,$1.4303,$1.5109,"$12,763,260","$70,362,440",SOL
"Dec 30, 2020",$1.6697,$1.6808,$1.5298,$1.5355,"$12,663,616","$71,506,163",SOL
"Dec 29, 2020",$1.5155,$1.7276,$1.4397,$1.6743,"$26,355,259","$77,974,154",SOL
"Dec 28, 2020",$1.3040,$1.5170,$1.2943,$1.5157,"$12,668,150","$70,585,367",SOL
"Dec 27, 2020",$1.3251,$1.4087,$1.2683,$1.3030,"$12,286,531","$60,682,596",SOL
"Dec 26, 2020",$1.4460,$1.4475,$1.3134,$1.3242,"$6,798,656","$61,669,700",SOL
"Dec 25, 2020",$1.3615,$1.4529,$1.3472,$1.4454,"$9,359,549","$67,312,350",SOL
"Dec 24, 2020",$1.2077,$1.3837,$1.1730,$1.3624,"$9,236,939","$63,447,288",SOL
"Dec 23, 2020",$1.4902,$1.5106,$1.0902,$1.2057,"$16,776,307","$56,149,028",SOL
"Dec 22, 2020",$1.5396,$1.5741,$1.4745,$1.4903,"$11,066,565","$69,402,540",SOL
"Dec 21, 2020",$1.5638,$1.6183,$1.4952,$1.5419,"$8,333,991","$71,806,911",SOL
"Dec 20, 2020",$1.6707,$1.6844,$1.5277,$1.5636,"$9,093,230","$72,815,661",SOL
"Dec 19, 2020",$1.6993,$1.7643,$1.6643,$1.6687,"$9,095,045","$77,708,968",SOL
"Dec 18, 2020",$1.6790,$1.7063,$1.6370,$1.6988,"$7,879,397","$79,113,025",SOL
"Dec 17, 2020",$1.7839,$1.8031,$1.6552,$1.6786,"$15,461,477","$78,173,905",SOL
"Dec 16, 2020",$1.7601,$1.7876,$1.6100,$1.7836,"$18,277,631","$83,062,059",SOL
"Dec 15, 2020",$1.5910,$1.7994,$1.5893,$1.7607,"$19,470,080","$81,994,578",SOL
"Dec 14, 2020",$1.5680,$1.6229,$1.5237,$1.5916,"$8,672,052","$74,028,444",SOL
"Dec 13, 2020",$1.4907,$1.6429,$1.4581,$1.5655,"$8,389,349","$72,419,790",SOL
"Dec 12, 2020",$1.4416,$1.5374,$1.4407,$1.4909,"$7,085,231","$68,971,785",SOL
